iter	Passed	Remaining
0	162	157298
1	344	166788
2	507	163777
3	843	203814
4	1067	206248
5	1260	202763
6	1422	195860
7	1577	189913
8	1703	182031
9	1831	176027
10	1946	169871
11	2063	164925
12	2179	160615
13	2300	157242
14	2414	153907
15	2539	151570
16	2654	148969
17	2770	146693
18	2888	144719
19	3001	142702
20	3118	141093
21	3240	139780
22	3360	138493
23	3478	137252
24	3597	136114
25	3718	135163
26	3936	137649
27	4128	139039
28	4282	139113
29	4418	138608
30	4590	139189
31	4713	138304
32	4828	137257
33	4940	136164
34	5100	136395
35	5283	137227
36	5443	137402
37	5590	137255
38	5742	137228
39	5895	137217
40	6014	136433
41	6139	135806
42	6262	135152
43	6479	136520
44	6648	136805
45	6808	136905
46	6951	136673
47	7105	136640
48	7217	135807
49	7341	135222
50	7468	134732
51	7663	135437
52	7839	135792
53	7997	135811
54	8154	135806
55	8305	135705
56	8447	135448
57	8568	134881
58	8723	134840
59	8857	134484
60	8977	133930
61	9090	133275
62	9209	132737
63	9387	133034
64	9555	133190
65	9728	133396
66	9906	133658
67	10085	133934
68	10228	133711
69	10393	133776
70	10573	134034
71	10793	134766
72	10999	135306
73	11167	135370
74	11368	135821
75	11505	135493
76	11635	135088
77	11762	134667
78	11881	134153
79	11990	133543
80	12113	133102
81	12239	132691
82	12350	132139
83	12465	131630
84	12580	131137
85	12690	130590
86	12809	130159
87	12926	129701
88	13042	129250
89	13180	129025
90	13365	129253
91	13523	129206
92	13666	129022
93	13801	128768
94	13961	128737
95	14081	128346
96	14192	127879
97	14297	127367
98	14440	127193
99	14665	127735
100	14822	127677
101	14975	127581
102	15127	127485
103	15252	127153
104	15361	126699
105	15479	126319
106	15590	125892
107	15749	125850
108	15938	126047
109	16106	126071
110	16270	126057
111	16418	125922
112	16556	125711
113	16670	125323
114	16784	124934
115	16908	124629
116	17028	124295
117	17143	123926
118	17254	123536
119	17417	123521
120	17615	123744
121	17786	123775
122	17923	123571
123	18062	123380
124	18194	123138
125	18302	122740
126	18415	122385
127	18536	122083
128	18734	122280
129	18896	122248
130	19049	122151
131	19186	121949
132	19332	121810
133	19452	121507
134	19572	121203
135	19699	120949
136	19927	121312
137	20096	121305
138	20276	121369
139	20414	121175
140	20565	121059
141	20706	120882
142	20820	120554
143	20936	120242
144	21053	119930
145	21162	119583
146	21286	119322
147	21398	118993
148	21558	118932
149	21744	119016
150	21923	119057
151	22063	118881
152	22211	118749
153	22373	118695
154	22510	118505
155	22651	118337
156	22812	118275
157	23019	118447
158	23171	118335
159	23312	118167
160	23472	118090
161	23627	117990
162	23747	117717
163	23875	117484
164	24046	117462
165	24240	117550
166	24427	117602
167	24582	117500
168	24727	117345
169	24913	117386
170	25043	117161
171	25153	116847
172	25265	116543
173	25393	116312
174	25596	116425
175	25751	116319
176	25902	116193
177	26033	115981
178	26169	115788
179	26285	115511
180	26395	115206
181	26507	114914
182	26617	114613
183	26789	114583
184	26965	114565
185	27112	114426
186	27259	114285
187	27399	114115
188	27540	113950
189	27659	113696
190	27777	113437
