,UID,nClick,nOpen,nSend
0,15A56DE8-6D68-4966-820D-3893C7F0183F,0,3,0
1,0DBDACA7-ED99-447A-AF41-0032C63BA003,0,6,0
2,0355FE1A-045F-4F17-A4BB-18F176B98E9A,0,1,0
3,E8587D0E-4F32-4BD3-9889-281A5CA2EFEB,0,2,0
4,3B01032D-60A7-40A9-9BAD-377D07CD8D31,0,2,0
5,C7947923-F708-4DE1-BBB3-1FE3B5946474,0,2,0
6,4E497D8A-7865-438C-B7CD-33EEF6AF5560,0,2,0
7,C2027FE7-0CC5-4BA6-A0B8-1362F37493E0,0,7,0
8,6CEAEC70-30A1-40C5-8E87-16D5FB1C9C73,0,2,0
9,DFA0F493-BEA5-41B9-9F70-16EDF2AC8870,0,2,0
10,A086C88F-1F0B-4A5D-A441-256DDB21F5EC,0,1,0
11,90613A03-C803-4246-9C52-22639C1A211D,0,4,0
12,12920D39-C17D-48F4-8E6E-0786A3E88982,0,3,0
13,28AE4421-F829-4E58-A7D7-0C0603C48B9B,0,4,0
14,A77FA599-E9AB-42EE-A2DB-1517E487B6AE,0,2,0
15,FB03A96B-0127-42BC-8D4C-08E0DE8FDC54,0,2,0
16,28E79D5F-FE9A-4137-9385-2FB4242FA9F3,0,3,0
17,32241F6D-FA33-4FD5-9188-0336AA3BE4A0,0,5,0
18,95B974BB-5F2B-4775-8842-0DB3022162B7,2,4,0
19,5ED09403-EFED-4CDB-BA01-0D6E6C679FC6,0,1,0
20,F6934061-7317-4DB1-860C-1DDC5C18E6EC,0,4,0
21,96842CAB-F0DB-4896-8819-26B9F0328879,0,3,0
22,D8D797D9-1439-450A-8BFC-37252A91E738,0,3,0
23,74CA43C4-D124-4F2E-A7FF-25BF3DBEFE88,0,2,0
24,3DDE691B-B188-43F3-AED3-3322B6D6F3FB,0,2,0
25,656B3ACC-5028-4594-B6BE-30B31BEEA98A,0,6,0
26,B02CEEA5-D490-41FA-88E6-2316A3685B76,0,2,0
27,298F0E5D-BF82-4D32-9B8C-0E70F1FEFF81,0,2,0
28,73DFC9F2-051A-4BEE-8B14-19788711E3CD,0,4,0
29,C00C07F2-BD06-494D-9A8A-1ED32F38092C,0,4,0
30,ADD66459-2D31-4DB0-A299-292779F4526E,0,2,0
31,402AC0FF-8C8A-4B81-97A1-17D532AD3DC3,0,4,0
32,98E35595-D03A-4500-92C3-3B6ED4D201A8,0,2,0
33,9244BB1E-10EA-449E-A4C3-3DB4FA95CEE6,0,8,0
34,57749737-16BC-4CFB-AB2F-3F76678D1F2D,0,2,0
35,93CC8AAC-6DB2-49ED-8D14-40F1A8891BD0,0,6,0
36,56DDA14C-92BE-4856-8E98-416E11A76119,0,4,0
37,F5FD1C68-F598-4835-A5C0-4237BEA19E67,0,2,0
38,4EB51B99-CAF6-48DB-86C2-426612C68331,0,2,0
39,383AB449-18C8-4F97-9E4E-449730C20902,0,8,0
40,F771EB46-C3CD-4A72-BB77-45120AED4FE9,0,2,0
41,CB031CCA-3C2A-4533-B823-48DFCF5D4F25,0,7,0
42,112BE8FA-545F-4D9E-8318-48ED370BEF17,0,1,0
43,3A00B586-47C3-417D-90E7-499655F70BB5,0,2,0
44,D87176A2-417B-4E49-8880-4BCF8A9FF6FD,0,3,0
45,6A60AC33-3077-45A2-8963-4C660D5BC476,0,2,0
46,00B22AFE-0F82-4494-A5DF-4E85752F918B,0,2,0
47,8855608B-8FB8-4402-899C-4FD91268C0C1,0,2,0
48,55234292-F39D-4C99-8BBA-501DCF67DDE3,0,4,0
49,554639A2-ABE2-45F3-9297-50548D4D886B,0,4,0
50,1A7434E5-9950-48ED-9F08-50BFCBE80F8E,0,4,0
51,E9DFD8A7-A2F1-47D7-B62D-5219E1DBCFB4,0,8,0
52,41E59F8D-7B21-4C98-8E4D-537463EC3AA1,0,2,0
